address,cars,bluecar counter,utilib_counter,utilib_counter,charge_slots,charging status,city,kind,postal_code,rental_status,slots,station_type,status,subscription_status,year,month,day,hour,minute,timestamp,Total_cars
1 rue Jules LefÃ¨bvre,0,0,0,0,2,operational,Paris,STATION,75009,operational,6,station,ok,nonexistent,2018,4,4,17,36,2018-04-04 17:36:00,0
42 avenue de Friedland,0,0,0,0,0,nonexistent,Paris,STATION,75008,operational,4,station,ok,nonexistent,2018,4,6,2,41,2018-04-06 02:41:00,0
5 Rue Henry Brisson,1,1,0,0,1,operational,Paris,STATION,75018,operational,4,station,ok,nonexistent,2018,4,2,2,22,2018-04-02 02:22:00,1
2 rue Joseph Marie Jacquard,0,0,0,0,0,nonexistent,Aulnay-sous-bois,STATION,93600,broken,0,station,closed,nonexistent,2018,4,2,17,49,2018-04-02 17:49:00,0
8 Rue BenoÃ®t Malon,5,5,1,0,0,nonexistent,AsniÃ¨res-sur-Seine,STATION,92600,operational,0,station,ok,nonexistent,2018,4,3,5,53,2018-04-03 05:53:00,6
13 rue Malher,2,2,0,0,0,nonexistent,Paris,STATION,75004,operational,1,station,ok,nonexistent,2018,4,3,3,28,2018-04-03 03:28:00,2
4 rue Claude-Nicolas Ledoux,6,6,0,0,0,nonexistent,CrÃ©teil,STATION,94000,operational,0,station,ok,nonexistent,2018,4,2,12,20,2018-04-02 12:20:00,6
46 Avenue de Villiers,3,3,0,0,1,operational,Paris,STATION,75017,operational,3,station,ok,nonexistent,2018,4,5,23,49,2018-04-05 23:49:00,3
9 rue Jacques Mazaud,2,2,0,0,0,nonexistent,Levallois-Perret,PARKING,92300,operational,2,station,ok,nonexistent,2018,4,6,21,23,2018-04-06 21:23:00,2
17 Rue Ãmile Zola,6,6,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,STATION,92600,operational,0,station,ok,nonexistent,2018,4,8,3,6,2018-04-08 03:06:00,6
58 Rue Monge,1,1,0,0,0,operational,Paris,STATION,75005,operational,3,station,ok,nonexistent,2018,4,9,21,5,2018-04-09 21:05:00,1
73 Rue de Rome,6,6,0,0,0,operational,Paris,STATION,75008,operational,0,station,ok,nonexistent,2018,4,9,6,25,2018-04-09 06:25:00,6
135 avenue de Verdun,4,4,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,1,station,ok,nonexistent,2018,4,2,18,46,2018-04-02 18:46:00,4
15 rue des Pyramides,0,0,0,0,0,nonexistent,Paris,PARKING,75001,broken,0,station,closed,nonexistent,2018,4,7,7,39,2018-04-07 07:39:00,0
1 rue Roubo,0,0,0,0,0,operational,Paris,STATION,75011,operational,4,station,ok,nonexistent,2018,4,7,4,18,2018-04-07 04:18:00,0
41 avenue de Verdun,5,5,0,1,0,nonexistent,La Garenne-Colombes,STATION,92250,operational,0,station,ok,nonexistent,2018,4,8,6,12,2018-04-08 06:12:00,6
35 rue Mathis,3,3,1,0,0,nonexistent,Paris,STATION,75019,operational,0,station,ok,nonexistent,2018,4,9,10,57,2018-04-09 10:57:00,4
63 Boulevard Richard Lenoir,2,2,0,2,0,operational,Paris,STATION,75011,operational,0,station,ok,nonexistent,2018,4,4,7,52,2018-04-04 07:52:00,4
26 Avenue Duquesne,3,3,0,0,1,operational,Paris,STATION,75007,operational,3,station,ok,nonexistent,2018,4,9,17,42,2018-04-09 17:42:00,3
6 Rue Louis Blanc,2,2,0,0,1,operational,Paris,STATION,75010,operational,2,station,ok,nonexistent,2018,4,8,21,2,2018-04-08 21:02:00,2
11 rue d'Astorg,0,0,0,0,1,operational,Paris,STATION,75008,operational,6,station,ok,nonexistent,2018,4,7,8,45,2018-04-07 08:45:00,0
43 avenue de la RÃ©publique,4,4,0,0,0,nonexistent,Montrouge,SPACE,92120,operational,0,full_station,ok,operational,2018,4,1,12,6,2018-04-01 12:06:00,4
21 Quai de la Tournelle,2,2,0,0,0,nonexistent,Paris,STATION,75005,operational,2,station,ok,nonexistent,2018,4,3,22,37,2018-04-03 22:37:00,2
6 avenue des Ternes,1,1,0,0,1,operational,Paris,STATION,75017,operational,4,station,ok,nonexistent,2018,4,8,15,27,2018-04-08 15:27:00,1
8 Boulevard Richard Lenoir,1,1,0,0,1,operational,Paris,STATION,75011,operational,4,station,ok,nonexistent,2018,4,1,7,49,2018-04-01 07:49:00,1
260 avenue NapolÃ©on Bonaparte,4,4,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,1,station,ok,nonexistent,2018,4,5,1,51,2018-04-05 01:51:00,4
10 rue de la Verrerie,2,2,0,0,0,nonexistent,Meudon,SPACE,92190,operational,4,full_station,ok,operational,2018,4,3,12,12,2018-04-03 12:12:00,2
4 Chemin des petits marais,4,4,1,1,0,operational,Gennevilliers,STATION,92230,operational,0,station,ok,nonexistent,2018,4,2,21,21,2018-04-02 21:21:00,6
17 Avenue de Colmar,6,6,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,0,station,ok,nonexistent,2018,4,9,13,26,2018-04-09 13:26:00,6
7 rue du Colonel Driant,3,3,0,0,0,nonexistent,Paris,STATION,75001,operational,0,station,ok,nonexistent,2018,4,3,14,59,2018-04-03 14:59:00,3
51 avenue Karl Marx,0,0,0,0,0,nonexistent,Villejuif,STATION,94800,operational,6,station,ok,nonexistent,2018,4,6,11,36,2018-04-06 11:36:00,0
1 place du 8 mai 1945,2,2,0,1,0,nonexistent,Joinville-le-Pont,SPACE,94340,operational,2,full_station,ok,operational,2018,4,2,19,56,2018-04-02 19:56:00,3
2 rue des Mathurins,4,4,0,0,0,nonexistent,Bagneux,STATION,92220,operational,2,station,ok,nonexistent,2018,4,2,22,48,2018-04-02 22:48:00,4
11 Rue du Lieutenant Colonel Driant,5,5,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,0,station,ok,nonexistent,2018,4,1,6,8,2018-04-01 06:08:00,5
76 rue Botzaris,1,1,0,0,0,nonexistent,Paris,STATION,75019,operational,0,station,ok,nonexistent,2018,4,8,16,20,2018-04-08 16:20:00,1
22 Boulevard de PÃ©saro,0,0,0,1,0,nonexistent,Nanterre,STATION,92000,operational,4,station,ok,nonexistent,2018,4,6,22,19,2018-04-06 22:19:00,1
55 avenue de SÃ©gur,2,2,0,0,2,operational,Paris,STATION,75007,operational,4,station,ok,nonexistent,2018,4,4,4,17,2018-04-04 04:17:00,2
131 rue du Chevaleret,3,3,0,0,1,operational,Paris,STATION,75013,operational,3,station,ok,nonexistent,2018,4,7,3,20,2018-04-07 03:20:00,3
24 rue Caillaux,3,3,0,1,0,operational,Paris,STATION,75013,operational,2,station,ok,nonexistent,2018,4,5,22,26,2018-04-05 22:26:00,4
13 avenue de la Grande ArmÃ©e,1,1,0,1,0,operational,Paris,SPACE,75016,operational,2,full_station,ok,broken,2018,4,1,19,20,2018-04-01 19:20:00,2
2 Rue de Rungis,2,2,0,0,0,operational,Paris,STATION,75013,operational,0,station,ok,nonexistent,2018,4,2,15,48,2018-04-02 15:48:00,2
49 avenue de Stalingrad,0,0,0,0,0,nonexistent,Bagnolet,STATION,93170,broken,0,station,closed,nonexistent,2018,4,9,5,1,2018-04-09 05:01:00,0
10 rue de la Verrerie,5,5,0,0,0,nonexistent,Meudon,SPACE,92190,operational,1,full_station,ok,operational,2018,4,6,1,59,2018-04-06 01:59:00,5
2 Rue Marcel Monge,4,4,0,0,1,operational,Suresnes,STATION,92150,operational,2,station,ok,nonexistent,2018,4,2,18,24,2018-04-02 18:24:00,4
15 rue du Commandant RenÃ© Mouchotte,0,0,0,0,0,nonexistent,Paris,PARKING,75014,broken,0,station,closed,nonexistent,2018,4,4,23,38,2018-04-04 23:38:00,0
60 rue Edouard Vaillant,6,6,0,0,0,nonexistent,Bagnolet,STATION,93170,operational,0,station,ok,nonexistent,2018,4,5,8,11,2018-04-05 08:11:00,6
43 avenue de la RÃ©publique,0,0,0,0,0,nonexistent,Montrouge,SPACE,92120,operational,5,full_station,ok,operational,2018,4,3,19,46,2018-04-03 19:46:00,0
57 Rue de l'ÃgalitÃ©,3,3,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,3,station,ok,nonexistent,2018,4,3,15,24,2018-04-03 15:24:00,3
2 Avenue de Taillebourg,5,5,0,0,0,operational,Paris,STATION,75011,operational,1,station,ok,nonexistent,2018,4,5,6,11,2018-04-05 06:11:00,5
1 rue Manin,3,3,0,0,0,nonexistent,Paris,STATION,75019,operational,0,station,ok,nonexistent,2018,4,4,1,3,2018-04-04 01:03:00,3
80 rue de SÃ¨vres,3,3,0,0,0,nonexistent,Boulogne-Billancourt,STATION,92100,operational,2,station,ok,nonexistent,2018,4,9,2,40,2018-04-09 02:40:00,3
2 avenue de la RÃ©publique,5,5,0,0,0,nonexistent,Clamart,STATION,92140,operational,0,station,ok,nonexistent,2018,4,2,7,29,2018-04-02 07:29:00,5
12 avenue de la gare,0,0,0,0,0,nonexistent,BiÃ¨vres,STATION,91570,future,0,station,scheduled,nonexistent,2018,4,7,3,56,2018-04-07 03:56:00,0
22 rue des Roches,4,4,1,0,0,nonexistent,Montreuil,STATION,93100,operational,0,station,ok,nonexistent,2018,4,3,6,26,2018-04-03 06:26:00,5
22 Avenue Jean JaurÃ¨s,5,5,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,1,station,ok,nonexistent,2018,4,3,2,19,2018-04-03 02:19:00,5
52 Rue Carnot,6,6,0,0,0,nonexistent,Suresnes,STATION,92150,operational,0,station,ok,nonexistent,2018,4,6,0,12,2018-04-06 00:12:00,6
86 rue Pelleport,1,1,0,1,0,nonexistent,Paris,STATION,75020,operational,2,station,ok,nonexistent,2018,4,7,17,35,2018-04-07 17:35:00,2
17 allÃ©e Jean-Baptiste Preux,2,2,1,0,0,nonexistent,Alfortville,STATION,94140,operational,3,station,ok,nonexistent,2018,4,2,23,47,2018-04-02 23:47:00,3
112 Avenue de Versailles,4,4,0,0,0,operational,Paris,STATION,75016,operational,1,station,ok,nonexistent,2018,4,4,12,4,2018-04-04 12:04:00,4
42 rue Pierre Brossolette,5,5,0,0,0,nonexistent,Colombes,STATION,92700,operational,0,station,ok,nonexistent,2018,4,2,20,29,2018-04-02 20:29:00,5
87 boulevard Beaumarchais,1,1,0,0,1,operational,Paris,STATION,75003,operational,2,station,ok,nonexistent,2018,4,2,19,14,2018-04-02 19:14:00,1
1 rue des Nonnains d'HyÃ¨res,1,1,0,0,1,operational,Paris,STATION,75004,operational,4,station,ok,nonexistent,2018,4,1,15,44,2018-04-01 15:44:00,1
1bis Avenue Joseph Franceschi,5,5,0,0,0,nonexistent,Alfortville,STATION,94140,operational,1,station,ok,nonexistent,2018,4,8,4,21,2018-04-08 04:21:00,5
73 Rue de Rome,2,2,0,0,0,operational,Paris,STATION,75008,operational,2,station,ok,nonexistent,2018,4,4,13,6,2018-04-04 13:06:00,2
15 rue Olier,4,4,0,0,0,operational,Paris,STATION,75015,operational,1,station,ok,nonexistent,2018,4,2,14,30,2018-04-02 14:30:00,4
42 rue Charles Moureu,5,5,1,0,0,operational,Paris,STATION,75013,operational,0,station,ok,nonexistent,2018,4,8,7,46,2018-04-08 07:46:00,6
2 rue de la Coussaye,2,2,0,0,0,nonexistent,Enghien-les-Bains,STATION,95880,operational,4,station,ok,nonexistent,2018,4,3,12,15,2018-04-03 12:15:00,2
97 boulevard Berthier,2,2,0,1,1,operational,Paris,STATION,75017,operational,3,station,ok,nonexistent,2018,4,4,11,37,2018-04-04 11:37:00,3
1 avenue Philippe Auguste,5,5,0,0,0,operational,Paris,STATION,75011,operational,0,station,ok,nonexistent,2018,4,4,18,16,2018-04-04 18:16:00,5
160 avenue LÃ©on Blum,5,5,0,0,0,nonexistent,Maisons-Alfort,STATION,94700,operational,1,station,ok,nonexistent,2018,4,6,7,36,2018-04-06 07:36:00,5
10 Rue du Ranelagh,0,0,0,0,0,nonexistent,Paris,STATION,75016,operational,1,station,ok,nonexistent,2018,4,9,7,29,2018-04-09 07:29:00,0
9 rue du 8 mai,0,0,0,0,0,nonexistent,Aulnay-sous-bois,STATION,93600,broken,0,station,closed,nonexistent,2018,4,4,11,13,2018-04-04 11:13:00,0
126 Avenue Philippe Auguste,6,6,0,0,0,operational,Paris,STATION,75011,operational,0,station,ok,nonexistent,2018,4,6,2,27,2018-04-06 02:27:00,6
11 Place Stalingrad,3,3,1,1,0,nonexistent,Suresnes,STATION,92150,operational,1,station,ok,nonexistent,2018,4,5,3,41,2018-04-05 03:41:00,5
1 rue de lâÃ©galitÃ©,0,0,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,future,0,station,scheduled,nonexistent,2018,4,5,7,24,2018-04-05 07:24:00,0
97 Rue Roger Salengro,5,5,0,0,0,nonexistent,Drancy,STATION,93700,operational,1,station,ok,nonexistent,2018,4,5,1,23,2018-04-05 01:23:00,5
75 rue de la Chapelle,0,0,0,0,0,nonexistent,Paris,STATION,75018,broken,0,station,closed,nonexistent,2018,4,6,0,55,2018-04-06 00:55:00,0
7 rue de Pommard,0,0,0,0,0,nonexistent,Paris,STATION,75012,operational,4,station,ok,nonexistent,2018,4,3,3,44,2018-04-03 03:44:00,0
9 Boulevard Raspail,1,1,0,0,1,operational,Paris,STATION,75007,operational,4,station,ok,nonexistent,2018,4,3,12,37,2018-04-03 12:37:00,1
56 boulevard du MarÃ©chal Foch,6,6,0,1,0,nonexistent,VerriÃ¨res-le-Buisson,STATION,91370,operational,0,station,ok,nonexistent,2018,4,1,20,55,2018-04-01 20:55:00,7
88 avenue du GÃ©nÃ©ral de Gaulle,0,0,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,6,station,ok,nonexistent,2018,4,5,13,12,2018-04-05 13:12:00,0
2 Rue Georges Berger,0,0,0,0,2,operational,Paris,STATION,75017,operational,6,station,ok,nonexistent,2018,4,1,9,39,2018-04-01 09:39:00,0
19 Rue de l'ArrivÃ©e,3,3,0,0,0,nonexistent,Enghien-les-Bains,STATION,95880,operational,2,station,ok,nonexistent,2018,4,2,16,19,2018-04-02 16:19:00,3
6 rue Charles et Robert,5,5,1,0,0,operational,Paris,STATION,75020,operational,0,station,ok,nonexistent,2018,4,8,7,59,2018-04-08 07:59:00,6
41 rue Martre,0,0,0,0,0,nonexistent,Clichy-la-Garenne,STATION,92210,operational,3,station,ok,nonexistent,2018,4,5,19,19,2018-04-05 19:19:00,0
32 boulevard des Invalides,2,2,0,0,0,nonexistent,Paris,STATION,75007,operational,2,station,ok,nonexistent,2018,4,8,12,19,2018-04-08 12:19:00,2
1 rue Charles PÃ©guy,2,2,0,1,0,nonexistent,Suresnes,STATION,92150,operational,0,station,ok,nonexistent,2018,4,5,17,38,2018-04-05 17:38:00,3
24 rue Caillaux,1,1,0,0,0,operational,Paris,STATION,75013,operational,3,station,ok,nonexistent,2018,4,2,0,16,2018-04-02 00:16:00,1
6 avenue du Mahatma Gandhi,2,2,0,0,0,nonexistent,Paris,STATION,75016,operational,1,station,ok,nonexistent,2018,4,2,8,43,2018-04-02 08:43:00,2
1 rue de la LibÃ©ration,1,1,0,0,0,nonexistent,Saclay,STATION,91400,operational,5,station,ok,nonexistent,2018,4,2,18,59,2018-04-02 18:59:00,1
14 rue Jouffroy d'Abbans,3,3,0,0,0,operational,Paris,STATION,75017,operational,0,station,ok,nonexistent,2018,4,1,20,51,2018-04-01 20:51:00,3
8 Avenue de la Porte de Montrouge,4,4,0,1,0,operational,Paris,STATION,75014,operational,0,station,ok,nonexistent,2018,4,7,10,37,2018-04-07 10:37:00,5
10 Rue des BruyÃ¨res,4,4,0,0,0,operational,Les Lilas,STATION,93260,operational,1,station,ok,nonexistent,2018,4,5,20,18,2018-04-05 20:18:00,4
3 place du Louvre,0,0,0,0,0,nonexistent,Paris,PARKING,75001,operational,4,station,ok,nonexistent,2018,4,8,16,0,2018-04-08 16:00:00,0
Quai de SÃ¨vres,0,0,0,0,0,nonexistent,SÃ¨vres,PARKING,92310,operational,5,station,ok,nonexistent,2018,4,5,7,44,2018-04-05 07:44:00,0
35 quai Alphonse Le Gallo,4,4,0,1,0,nonexistent,Boulogne-Billancourt,STATION,92100,operational,0,station,ok,nonexistent,2018,4,3,15,24,2018-04-03 15:24:00,5
130 rue de la Porte de Trivaux,3,3,0,0,0,nonexistent,Clamart,STATION,92140,operational,3,station,ok,nonexistent,2018,4,2,1,49,2018-04-02 01:49:00,3
1bis rue Ravignan,3,3,0,0,0,operational,Paris,STATION,75018,operational,0,station,ok,nonexistent,2018,4,5,14,33,2018-04-05 14:33:00,3
2 rue du Commandant Lamy,1,1,0,0,0,nonexistent,Paris,STATION,75011,operational,3,station,ok,nonexistent,2018,4,3,3,12,2018-04-03 03:12:00,1
1 rue d'UzÃ¨s,5,5,0,0,0,operational,Paris,STATION,75002,operational,0,station,ok,nonexistent,2018,4,4,13,42,2018-04-04 13:42:00,5
88 rue de Bercy,0,0,0,0,1,operational,Paris,STATION,75012,operational,6,station,ok,nonexistent,2018,4,4,23,41,2018-04-04 23:41:00,0
38 rue FranÃ§ois 1er,0,0,0,0,1,operational,Paris,STATION,75008,operational,3,station,ok,nonexistent,2018,4,1,13,22,2018-04-01 13:22:00,0
21 rue Pierre Brossolette,0,0,0,0,0,nonexistent,Levallois-Perret,PARKING,92300,operational,3,station,ok,nonexistent,2018,4,4,10,51,2018-04-04 10:51:00,0
11 avenue Georges Lafenestre,1,1,0,0,2,operational,Paris,STATION,75014,operational,4,station,ok,nonexistent,2018,4,9,10,41,2018-04-09 10:41:00,1
63 avenue du 18 juin 1940,3,3,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,2,station,ok,nonexistent,2018,4,7,6,7,2018-04-07 06:07:00,3
16 avenue du GÃ©nÃ©ral Malleret,1,1,0,0,0,nonexistent,Alfortville,SPACE,94140,operational,4,full_station,ok,operational,2018,4,7,16,28,2018-04-07 16:28:00,1
22 boulevard FÃ©lix Faure,6,6,0,0,0,nonexistent,Aulnay-sous-bois,SPACE,93600,operational,0,full_station,ok,operational,2018,4,4,4,6,2018-04-04 04:06:00,6
2 Boulevard de la Paix,3,3,0,0,0,nonexistent,Courbevoie,STATION,92400,operational,3,station,ok,nonexistent,2018,4,4,5,18,2018-04-04 05:18:00,3
19 Rue de l'ArrivÃ©e,1,1,0,0,0,nonexistent,Enghien-les-Bains,STATION,95880,operational,5,station,ok,nonexistent,2018,4,3,9,15,2018-04-03 09:15:00,1
10 rue Anatole de la Forge,0,0,0,0,0,nonexistent,Paris,STATION,75017,future,0,station,scheduled,nonexistent,2018,4,3,19,14,2018-04-03 19:14:00,0
2 avenue Georges Pompidou,0,0,0,0,0,nonexistent,Sucy-en-Brie,STATION,94370,future,0,station,scheduled,nonexistent,2018,4,6,9,51,2018-04-06 09:51:00,0
104 avenue Ledru Rollin,0,0,0,0,1,operational,Paris,STATION,75011,operational,5,station,ok,nonexistent,2018,4,1,6,17,2018-04-01 06:17:00,0
80 rue de SÃ¨vres,0,0,0,0,0,nonexistent,Boulogne-Billancourt,STATION,92100,operational,2,station,ok,nonexistent,2018,4,3,17,46,2018-04-03 17:46:00,0
38 ter rue du Mont ValÃ©rien,2,2,0,0,0,operational,Saint-Cloud,STATION,92210,operational,1,station,ok,nonexistent,2018,4,5,21,37,2018-04-05 21:37:00,2
123 Rue du Faubourg Saint-HonorÃ©,0,0,0,0,1,operational,Paris,STATION,75008,operational,6,station,ok,nonexistent,2018,4,9,6,31,2018-04-09 06:31:00,0
29 rue Doudeauville,0,0,0,0,0,operational,Paris,STATION,75018,operational,5,station,ok,nonexistent,2018,4,6,13,57,2018-04-06 13:57:00,0
2 avenue Parmentier,2,2,0,0,0,operational,Paris,SPACE,75011,operational,3,full_station,ok,operational,2018,4,4,8,30,2018-04-04 08:30:00,2
41 avenue Bosquet,0,0,0,0,1,operational,Paris,STATION,75007,operational,4,station,ok,nonexistent,2018,4,1,10,15,2018-04-01 10:15:00,0
1 rue Emile Raspail,2,2,0,0,0,nonexistent,Arcueil,STATION,94110,operational,2,station,ok,nonexistent,2018,4,2,20,36,2018-04-02 20:36:00,2
15 Rue de Verdun,1,1,0,1,0,nonexistent,Suresnes,SPACE,92150,operational,3,full_station,ok,operational,2018,4,2,5,11,2018-04-02 05:11:00,2
215 Avenue des GrÃ©sillons,6,6,0,0,0,nonexistent,Gennevilliers,STATION,92230,operational,0,station,ok,nonexistent,2018,4,1,3,24,2018-04-01 03:24:00,6
31 rue Beaurepaire,0,0,0,0,2,operational,Paris,STATION,75010,operational,5,station,ok,nonexistent,2018,4,6,5,51,2018-04-06 05:51:00,0
16 avenue du GÃ©nÃ©ral Malleret,0,0,0,0,0,nonexistent,Alfortville,SPACE,94140,operational,6,full_station,ok,operational,2018,4,3,12,42,2018-04-03 12:42:00,0
4 rue Ãmile Reynaud,3,3,0,0,2,operational,Paris,STATION,75019,operational,3,station,ok,nonexistent,2018,4,2,10,25,2018-04-02 10:25:00,3
24 rue Caillaux,2,2,0,0,1,operational,Paris,STATION,75013,operational,3,station,ok,nonexistent,2018,4,1,17,37,2018-04-01 17:37:00,2
41 Boulevard Pasteur,1,1,0,1,0,operational,Paris,STATION,75015,operational,3,station,ok,nonexistent,2018,4,1,13,0,2018-04-01 13:00:00,2
61 Avenue de Flandre,0,0,0,0,0,broken,Paris,STATION,75019,broken,0,station,closed,nonexistent,2018,4,4,22,59,2018-04-04 22:59:00,0
29 rue du Cotentin,0,0,0,0,2,operational,Paris,STATION,75015,operational,6,station,ok,nonexistent,2018,4,2,22,29,2018-04-02 22:29:00,0
90 boulevard National,5,5,0,0,0,nonexistent,La Garenne-Colombes,STATION,92250,operational,1,station,ok,nonexistent,2018,4,6,6,16,2018-04-06 06:16:00,5
7 rue La Fayette,5,5,0,1,0,operational,Paris,STATION,75009,operational,0,station,ok,nonexistent,2018,4,6,14,57,2018-04-06 14:57:00,6
86 avenue de la RÃ©publique,3,3,0,0,0,operational,Paris,STATION,75011,operational,2,station,ok,nonexistent,2018,4,5,0,30,2018-04-05 00:30:00,3
18 Place Mozart,0,0,0,0,0,nonexistent,Joinville-le-Pont,STATION,94340,operational,5,station,ok,nonexistent,2018,4,9,8,42,2018-04-09 08:42:00,0
14 rue Velpeau,0,0,0,0,0,nonexistent,Antony,STATION,92160,operational,5,station,ok,nonexistent,2018,4,3,5,44,2018-04-03 05:44:00,0
189 Rue de Tolbiac,0,0,0,0,0,operational,Paris,STATION,75013,operational,2,station,ok,nonexistent,2018,4,6,21,1,2018-04-06 21:01:00,0
98 Boulevard de Vanves,1,1,1,0,0,nonexistent,ChÃ¢tillon,STATION,92320,operational,3,station,ok,nonexistent,2018,4,1,15,55,2018-04-01 15:55:00,2
122 boulevard Jean JaureÌs,6,6,0,0,0,nonexistent,Clichy-la-Garenne,STATION,92210,operational,0,station,ok,nonexistent,2018,4,4,16,54,2018-04-04 16:54:00,6
15 place du GÃ©nÃ©ral de Gaulle,5,5,0,0,0,nonexistent,Montreuil,STATION,93100,operational,2,station,ok,nonexistent,2018,4,3,13,17,2018-04-03 13:17:00,5
81 Boulevard Vincent Auriol,0,0,0,0,2,operational,Paris,STATION,75013,operational,6,station,ok,nonexistent,2018,4,3,16,26,2018-04-03 16:26:00,0
16 rue de l'ArrivÃ©e,0,0,0,0,1,operational,Paris,STATION,75015,operational,5,station,ok,nonexistent,2018,4,5,19,17,2018-04-05 19:17:00,0
203 Rue du Faubourg-Saint-Martin,0,0,1,0,2,operational,Paris,STATION,75010,operational,5,station,ok,nonexistent,2018,4,2,10,39,2018-04-02 10:39:00,1
22 rue des Roches,4,4,1,0,0,nonexistent,Montreuil,STATION,93100,operational,0,station,ok,nonexistent,2018,4,6,21,41,2018-04-06 21:41:00,5
135 avenue de Verdun,3,3,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,3,station,ok,nonexistent,2018,4,1,3,13,2018-04-01 03:13:00,3
50 Boulevard Pereire,2,2,0,0,0,operational,Paris,SPACE,75017,operational,1,full_station,ok,operational,2018,4,1,18,18,2018-04-01 18:18:00,2
6 Rue Pablo Neruda,5,5,0,1,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,2,4,17,2018-04-02 04:17:00,6
66 Boulevard CamÃ©linat,2,2,0,0,0,nonexistent,Gennevilliers,STATION,92230,operational,4,station,ok,nonexistent,2018,4,9,16,18,2018-04-09 16:18:00,2
4 rue Ãmile Reynaud,2,2,0,0,1,operational,Paris,STATION,75019,operational,3,station,ok,nonexistent,2018,4,4,21,55,2018-04-04 21:55:00,2
86 Rue du Lieutenant Colonel de Montbrison,2,2,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,1,station,ok,nonexistent,2018,4,8,17,52,2018-04-08 17:52:00,2
52 Rue de Bagneux,4,4,0,0,0,nonexistent,Sceaux,STATION,92330,operational,2,station,ok,nonexistent,2018,4,6,6,39,2018-04-06 06:39:00,4
15 avenue du GÃ©nÃ©ral Laperrine,0,0,0,0,2,operational,Paris,STATION,75012,operational,5,station,ok,nonexistent,2018,4,3,1,41,2018-04-03 01:41:00,0
53 rue du Bois l'AbbÃ©,5,5,0,0,0,nonexistent,Champigny-sur-Marne,STATION,94500,operational,1,station,ok,nonexistent,2018,4,7,22,28,2018-04-07 22:28:00,5
161 boulevard Bineau,0,0,0,0,0,nonexistent,Neuilly-sur-Seine,STATION,92200,broken,0,station,closed,nonexistent,2018,4,4,19,35,2018-04-04 19:35:00,0
13 Rue de l'Union,2,2,0,1,0,nonexistent,Nanterre,STATION,92000,operational,2,station,ok,nonexistent,2018,4,3,8,16,2018-04-03 08:16:00,3
32 boulevard Jean-Baptiste Oudry,5,5,0,0,0,nonexistent,CrÃ©teil,STATION,94000,operational,0,station,ok,nonexistent,2018,4,5,16,11,2018-04-05 16:11:00,5
1 avenue Ãmile Laurent,4,4,0,1,0,operational,Paris,STATION,75012,operational,0,station,ok,nonexistent,2018,4,6,12,34,2018-04-06 12:34:00,5
2 rue du Charolais,1,1,0,0,1,operational,Paris,STATION,75012,operational,4,station,ok,nonexistent,2018,4,8,13,24,2018-04-08 13:24:00,1
3 rue Gabriel PÃ©ri,0,0,0,0,0,nonexistent,Saint-Denis,STATION,93200,broken,0,station,closed,nonexistent,2018,4,9,20,46,2018-04-09 20:46:00,0
194 rue de fontenay,7,7,0,0,0,nonexistent,Vincennes,STATION,94300,operational,0,station,ok,nonexistent,2018,4,3,4,37,2018-04-03 04:37:00,7
38 Rue RÃ©aumur,0,0,0,0,1,operational,Paris,STATION,75003,operational,4,station,ok,nonexistent,2018,4,6,12,36,2018-04-06 12:36:00,0
2 avenue du Val de Fontenay,4,4,0,1,0,nonexistent,Fontenay-Sous-Bois,STATION,94120,operational,1,station,ok,nonexistent,2018,4,5,16,43,2018-04-05 16:43:00,5
4 rue Beaugrenelle,2,2,0,0,0,operational,Paris,STATION,75015,operational,0,station,ok,nonexistent,2018,4,4,8,42,2018-04-04 08:42:00,2
2 Rue Fernand Pelloutier,2,2,0,0,0,nonexistent,Puteaux,STATION,92800,operational,2,station,ok,nonexistent,2018,4,8,8,56,2018-04-08 08:56:00,2
61 quai Blanqui,0,0,0,0,0,nonexistent,Alfortville,STATION,94140,broken,0,station,closed,nonexistent,2018,4,2,19,28,2018-04-02 19:28:00,0
81 rue FalguiÃ¨re,0,0,0,0,0,nonexistent,Paris,PARKING,75015,operational,5,station,ok,nonexistent,2018,4,5,1,50,2018-04-05 01:50:00,0
252 bis rue Saint-Martin,0,0,0,0,0,nonexistent,Paris,PARKING,75003,operational,6,station,ok,nonexistent,2018,4,7,6,0,2018-04-07 06:00:00,0
17 Avenue Victoria,0,0,1,0,1,operational,Paris,STATION,75001,operational,4,station,ok,nonexistent,2018,4,4,9,58,2018-04-04 09:58:00,1
