address,cars,bluecar counter,utilib_counter,utilib_counter,charge_slots,charging status,city,kind,postal_code,rental_status,slots,station_type,status,subscription_status,year,month,day,hour,minute,timestamp,Total_cars
5 rue FrÃ©dÃ©rick LemaÃ®tre,5,5,0,0,0,operational,Paris,STATION,75020,operational,0,station,ok,nonexistent,2018,4,3,3,48,2018-04-03 03:48:00,5
77 rue Edouard Vaillant,3,3,0,0,0,nonexistent,Bezons,SPACE,95870,operational,0,full_station,ok,broken,2018,4,1,23,36,2018-04-01 23:36:00,3
1 rue Jean Monnet,5,5,0,0,0,nonexistent,Nogent-sur-Marne,SPACE,94130,operational,0,full_station,ok,broken,2018,4,2,8,37,2018-04-02 08:37:00,5
70 Boulevard de Clichy,2,2,0,0,0,operational,Paris,STATION,75018,operational,1,station,ok,nonexistent,2018,4,3,16,24,2018-04-03 16:24:00,2
68 avenue Mozart,2,2,0,0,0,operational,Paris,STATION,75016,operational,1,station,ok,nonexistent,2018,4,1,21,17,2018-04-01 21:17:00,2
16 rue Claude Bernard,1,1,0,0,2,operational,Paris,STATION,75005,operational,3,station,ok,nonexistent,2018,4,4,13,3,2018-04-04 13:03:00,1
18 Rue Gabriel FaurÃ©,3,3,0,0,0,nonexistent,CrÃ©teil,STATION,94000,operational,3,station,ok,nonexistent,2018,4,2,23,38,2018-04-02 23:38:00,3
27 boulevard Gallieni,4,4,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,2,station,ok,nonexistent,2018,4,4,11,54,2018-04-04 11:54:00,4
42 bis avenue Georges Mandel,5,5,0,0,0,operational,Paris,STATION,75016,operational,1,station,ok,nonexistent,2018,4,6,18,25,2018-04-06 18:25:00,5
81 avenue de la Grande ArmÃ©e,0,0,0,0,0,broken,Paris,STATION,75016,broken,0,station,closed,nonexistent,2018,4,6,21,2,2018-04-06 21:02:00,0
2 avenue de l'Ãpi dâOr,6,6,0,0,0,nonexistent,Villejuif,STATION,94800,operational,0,station,ok,nonexistent,2018,4,5,7,5,2018-04-05 07:05:00,6
14 rue Censier,2,2,0,0,1,operational,Paris,STATION,75005,operational,4,station,ok,nonexistent,2018,4,5,2,35,2018-04-05 02:35:00,2
59 avenue Reille,3,3,0,1,1,operational,Paris,STATION,75014,operational,2,station,ok,nonexistent,2018,4,7,9,6,2018-04-07 09:06:00,4
2 bis Place du 8 mai 1945,4,4,0,1,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,0,station,ok,nonexistent,2018,4,6,3,52,2018-04-06 03:52:00,5
41 rue de Tolbiac,3,3,0,0,1,operational,Paris,STATION,75013,operational,2,station,ok,nonexistent,2018,4,9,19,49,2018-04-09 19:49:00,3
2 Rue Fabre d'Ãglantine,2,2,0,0,1,operational,Paris,STATION,75012,operational,2,station,ok,nonexistent,2018,4,9,0,44,2018-04-09 00:44:00,2
29 Avenue Georges Pompidou,6,6,0,0,0,operational,Villeneuve-la-Garenne,STATION,92390,operational,0,station,ok,nonexistent,2018,4,1,11,56,2018-04-01 11:56:00,6
17 Place de la RÃ©publique,0,0,0,0,0,nonexistent,Paris,STATION,75003,operational,3,station,ok,nonexistent,2018,4,3,0,56,2018-04-03 00:56:00,0
145 Rue Raymond Losserand,4,4,0,0,1,operational,Paris,STATION,75014,operational,2,station,ok,nonexistent,2018,4,4,10,9,2018-04-04 10:09:00,4
11 rue de vincennes,6,6,0,0,0,nonexistent,Montreuil,STATION,93100,operational,0,station,ok,nonexistent,2018,4,7,21,11,2018-04-07 21:11:00,6
1 rue Velpeau,0,0,0,0,0,nonexistent,Paris,PARKING,75007,operational,6,station,ok,nonexistent,2018,4,6,0,9,2018-04-06 00:09:00,0
229 Rue Raymond Losserand,5,5,0,0,0,operational,Paris,STATION,75014,operational,1,station,ok,nonexistent,2018,4,8,8,22,2018-04-08 08:22:00,5
1 Boulevard Murat,0,0,0,0,1,operational,Paris,STATION,75016,operational,5,station,ok,nonexistent,2018,4,4,3,32,2018-04-04 03:32:00,0
137 rue de la Pompe,3,3,0,0,0,operational,Paris,STATION,75016,operational,0,station,ok,nonexistent,2018,4,3,21,17,2018-04-03 21:17:00,3
10 rue Guy Patin,3,3,0,0,0,operational,Paris,STATION,75010,operational,0,station,ok,nonexistent,2018,4,5,15,54,2018-04-05 15:54:00,3
1 rue Jacques Duchesne,3,3,0,2,0,operational,Paris,STATION,75019,operational,0,station,ok,nonexistent,2018,4,8,10,55,2018-04-08 10:55:00,5
147 rue de Paris,3,3,0,0,0,nonexistent,Charenton-le-Pont,STATION,94220,operational,0,station,ok,nonexistent,2018,4,2,14,38,2018-04-02 14:38:00,3
12 rue Henri Sainte-Claire DÃ©ville,4,4,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,2,station,ok,nonexistent,2018,4,1,1,29,2018-04-01 01:29:00,4
4 rue Massenet,3,3,0,0,0,operational,Courbevoie,SPACE,92400,operational,2,full_station,ok,broken,2018,4,6,15,59,2018-04-06 15:59:00,3
37 rue Sainte-Croix de la Bretonnerie,2,2,0,0,0,nonexistent,Paris,STATION,75004,operational,0,station,ok,nonexistent,2018,4,3,11,11,2018-04-03 11:11:00,2
229 Rue Raymond Losserand,5,5,0,1,0,operational,Paris,STATION,75014,operational,0,station,ok,nonexistent,2018,4,7,3,31,2018-04-07 03:31:00,6
6 avenue Foch,0,0,0,0,0,nonexistent,Paris,PARKING,75016,broken,0,station,closed,nonexistent,2018,4,5,3,11,2018-04-05 03:11:00,0
33 Rue du Ranelagh,6,6,0,0,0,operational,Paris,STATION,75016,operational,0,station,ok,nonexistent,2018,4,2,20,40,2018-04-02 20:40:00,6
65 avenue Philippe Auguste,3,3,0,0,1,operational,Paris,STATION,75011,operational,1,station,ok,nonexistent,2018,4,2,18,59,2018-04-02 18:59:00,3
